F1;F6;F193;F12;F14;F15;F16;F26;F72;F99;S;Busy;Exting;Decade;Car;Nozzle;Flow;Long
1146;1;1;2;1;1;3;3;0;0;65;100;34;33;3;1;3,5;0
1146;1;2;1;1;1;3;3;0;0;10;10;0;33;8;0;0;0
1146;0;1;2;1;1;3;19;0;0;45;194;39;33;3;2;7;0
1146;1;2;2;5;4;3;4;0;0;10;63;5;33;4;1;3,5;0
1146;1;0;6;0;0;0;5;0;0;2;24;3;33;1;1;3,5;0
1146;1;0;5;0;0;0;4;0;0;3;22;8;33;2;1;3,5;0
1146;1;3;2;1;1;3;5;0;0;70;97;49;33;3;1;3,5;0
1146;1;0;3;1;1;3;6;0;0;9;60;7;34;2;1;3,5;0
1146;1;1;2;1;1;3;19;0;0;12;57;6;34;3;2;7;0
1146;1;0;6;0;0;0;5;0;0;1;10;0;34;4;0;0;0
1146;1;0;6;0;0;0;2;0;0;1;11;0;34;1;0;0;0
1146;1;0;6;0;0;0;1;0;0;1;15;0;34;1;0;0;0
1146;1;3;2;18;8;3;2;0;0;1;10;0;34;3;0;0;0
1146;1;3;2;18;7;3;2;0;0;1;10;0;34;3;0;0;0
1146;1;1;1;1;1;3;3;9;0;1;10;0;32;0;0;0;0
1146;1;3;2;2;1;3;9;0;0;5;45;15;34;4;1;3,5;0
1146;0;0;6;0;0;0;13;0;0;24;58;14;34;2;2;7;0
1146;1;2;2;5;2;3;3;0;0;3;10;0;34;5;0;0;0
1146;1;0;5;0;0;0;8;0;0;1;10;0;34;2;0;0;0
1146;1;3;2;1;1;3;11;0;0;1;10;0;34;2;0;0;0
1146;1;1;2;1;1;3;5;0;0;9;69;11;35;2;2;7;0
1146;1;0;6;0;0;0;4;0;0;1;10;3;35;3;1;3,5;0
1146;1;0;6;0;0;0;1;0;0;2;12;3;35;1;1;3,5;0
1146;1;0;5;0;0;0;10;0;0;6;35;10;35;2;1;3,5;0
1146;1;1;1;1;1;3;4;0;0;23;126;31;35;3;2;7;0
1146;1;0;6;0;0;0;4;0;0;12;82;0;35;1;0;0;0
1146;1;0;6;0;0;0;6;0;0;4;33;6;35;2;1;3,5;0
